X,Y,Z,X_size,Y_size,Z_size,Density,Rock_code,Ore_per,Au_grade,Block_ton,Au_mass
2516320,5822820,6720,40,40,40,0.0769,51,100,0.0098,4921.6,33.762176
2516320,5822860,6720,40,40,40,0.0769,51,100,0.0113,4921.10784,38.925963
2516240,5822860,6760,40,40,40,0.076,0,100,0,15.5648,0
2516280,5822780,6760,40,40,40,0.076,0,100,0,0.4864,0
2516280,5822900,6720,40,40,40,0.0769,51,100,0.0142,4921.10784,0
2516280,5822940,6720,40,40,40,0.0769,51,100,0.0181,4921.10784,0
2516280,5822980,6720,40,40,40,0.0769,51,100,0.0114,4920.61568,0
2516280,5823020,6720,40,40,40,0.0769,51,100,0.001,4920.61568,0
2516320,5822900,6720,40,40,40,0.0769,51,100,0.0133,4920.61568,45.810932
2516320,5822940,6680,40,40,40,0.0769,51,100,0.0107,4921.6,36.862784
2516320,5822940,6720,40,40,40,0.0769,51,100,0.0215,4920.61568,74.055266
2516320,5822980,6680,40,40,40,0.0769,51,100,0.0116,4921.6,39.963392
2516320,5822980,6720,40,40,40,0.0769,51,100,0.0182,4920.61568,62.688644
2516320,5823020,6720,40,40,40,0.0769,51,100,0.0123,4920.12352,0
2516240,5823020,6760,40,40,40,0.076,0,100,0,1.4592,0
2516240,5823060,6760,40,40,40,0.076,0,100,0,253.9008,0
2516240,5823300,6800,40,40,40,0.076,0,100,0,7.7824,0
2516240,5823340,6800,40,40,40,0.076,0,100,0,33.5616,0
2516320,5823300,6760,40,40,40,0.0769,51,100,0.0009,129.43808,0
2516360,5820660,6680,40,40,40,0.0769,51,100,0.0058,3775.85152,15.329957
2516360,5820700,6680,40,40,40,0.0769,51,100,0.0061,3860.9952,16.48645
2516480,5821740,6720,40,40,40,0.076,0,100,0,2578.4064,0
2516440,5821860,6720,40,40,40,0.076,0,100,0,3094.4768,0
2516440,5821900,6720,40,40,40,0.076,0,100,0,2647.4752,0
2516480,5821780,6720,40,40,40,0.076,0,100,0,2198.528,0
2516480,5821820,6720,40,40,40,0.076,0,100,0,1384.7808,0
2516480,5821860,6720,40,40,40,0.076,0,100,0,401.7664,0
2516480,5821900,6720,40,40,40,0.076,0,100,0,154.6752,0
2516440,5821940,6720,40,40,40,0.076,0,100,0,1588.5824,0
2516440,5821980,6720,40,40,40,0.076,0,100,0,1059.8656,0
2516440,5822020,6720,40,40,40,0.076,0,100,0,1161.5232,0
2516440,5822060,6720,40,40,40,0.076,0,100,0,1305.0112,0
2516480,5821940,6720,40,40,40,0.076,0,100,0,190.6688,0
2516480,5821980,6680,40,40,40,0.0769,51,100,0.0001,3947.1232,0
2516480,5821980,6720,40,40,40,0.076,0,100,0,62.2592,0
2516480,5822020,6680,40,40,40,0.0769,51,100,0.0001,4244.88,0
2516480,5822020,6720,40,40,40,0.076,0,100,0,110.8992,0
2516480,5822060,6680,40,40,40,0.0769,51,100,0.0001,4272.44096,0
2516480,5822060,6720,40,40,40,0.076,0,100,0,487.8592,0
2516440,5822100,6720,40,40,40,0.076,0,100,0,733.0048,0
2516440,5822140,6720,40,40,40,0.076,0,100,0,938.752,0
2516440,5822180,6720,40,40,40,0.076,0,100,0,1228.6464,0
2516440,5822220,6720,40,40,40,0.076,0,100,0,1330.304,0
2516480,5822100,6680,40,40,40,0.0769,51,100,0.0001,4454.048,0
2516480,5822100,6720,40,40,40,0.076,0,100,0,330.752,0
2516480,5822140,6680,40,40,40,0.0769,51,100,0.0001,4781.3344,0
2516480,5822140,6720,40,40,40,0.076,0,100,0,560.8192,0
2516480,5822180,6720,40,40,40,0.076,0,100,0,771.4304,0
2516480,5822220,6720,40,40,40,0.076,0,100,0,1094.8864,0
2516440,5822260,6720,40,40,40,0.076,0,100,0,1639.168,0
2516440,5822300,6720,40,40,40,0.076,0,100,0,1839.5648,0
2516480,5822260,6720,40,40,40,0.076,0,100,0,1388.1856,0
2516480,5822300,6720,40,40,40,0.076,0,100,0,1545.2928,0
2516480,5822340,6720,40,40,40,0.076,0,100,0,1692.1856,0
2516480,5822380,6720,40,40,40,0.076,0,100,0,1782.656,0
2516480,5822420,6720,40,40,40,0.076,0,100,0,1926.144,0
2516360,5822820,6720,40,40,40,0.0769,51,100,0.0156,4921.6,53.743872
2516360,5822860,6680,40,40,40,0.0769,51,100,0.0081,4921.6,27.905472
2516360,5822860,6720,40,40,40,0.0769,51,100,0.011,4921.10784,37.89253
2516400,5822820,6720,40,40,40,0.0769,51,100,0,3198.54784,0
2516400,5822860,6720,40,40,40,0.0769,51,100,0.0139,2864.86336,27.87512
2516440,5822860,6720,40,40,40,0.0769,51,100,0.0156,1046.33216,11.425947
2516360,5822780,6760,40,40,40,0.076,0,100,0,227.6352,0
2516360,5822820,6760,40,40,40,0.076,0,100,0,226.6624,0
